oil_type,consumption_lmt,consumption_share_pct,domestic_production_lmt,import_share_pct,region_preference,status,source,year,note
palm,94,37,4,~99,"invisible - processed food, HoReCa, cheap blends, PDS-adjacent",reported,"Business Standard citing industry figures (37% share); SEA 2023-24 imports CPO 69.7 + RBD palmolein 19.31 = 89 LMT; NITI/USDA domestic CPO 3.8 LMT",2023-24,"Largest single oil consumed and ~entirely imported; not sold as branded consumer oil - used in namkeen, bakery, vanaspati, cheap loose/blended oil. Share applied to ~255 LMT total consumption."
soybean,51,20,20,~65,"West (Gujarat/Maharashtra/MP/Rajasthan ~28% zone share)",reported,"Business Standard industry figures (20% share); SEA 2023-24 soy oil imports 34.41 LMT; USDA MY23/24 domestic soy oil ~20 LMT",2023-24,"Roughly half imported (Argentina/Brazil), half domestic crush. Record 5.47 MT soy oil imported in 2024-25 MY."
sunflower,33,13,3,~90,"South/urban (South zone ~44% share); Eastern zone ~19%",reported,"Business Standard industry figures (13% share); SEA 2023-24 sunflower oil imports 35.06 LMT (Russia/Ukraine/Argentina)",2023-24,"Almost entirely imported; urban health-positioned. Domestic sunflower seed output tiny (~2.5-2.8 LMT seed)."
mustard_rapeseed,36,14,42,~0,"North/East - Bengal/Bihar/UP/Punjab/NE (pungency preference); East zone ~29%",verified,"USDA MY23/24 domestic rapeseed-mustard oil 4.2 MMT = 42 LMT (largest indigenous oil); consumption share 14% Business Standard",2023-24,"India's largest DOMESTIC oil; ~100% domestically produced, near-zero import. Kachi ghani/pungent grades are a preference premium, not a palm price competitor."
groundnut,13,5,12,~0,"West/Gujarat-Maharashtra & South historically (South zone ~29%)",verified,"USDA MY23/24 domestic groundnut oil 1.2 MMT = 12 LMT; ~5% consumption share (residual)",2023-24,"~100% domestic. ~half of groundnut crop goes to direct food/seed/export (table/confectionery), only ~25-30% crushed for oil. Premium oil (~Rs 200+/kg retail)."
rice_bran,10,4,10,~0,"Rising nationally, health-positioned (urban)",verified,"USDA/industry ~10.3 LMT domestic rice bran oil; India world #1 in rice bran oil",2023-24,"Secondary source; byproduct of ~130 MT paddy milling. NMEO names it a collection-efficiency pillar. See domestic-procurement-stability-layer.md."
cottonseed,13,5,13,~0,"North/West cotton belt; blended/industrial",verified,"USDA MY23/24 cottonseed oil ~1.3 MMT = 13 LMT (~36% of secondary-source oil)",2023-24,"Byproduct of cotton; largest secondary-source oil. Mostly used in blends and vanaspati."
coconut,5,2,5,~0,"Kerala/coastal South (aroma/taste preference)",reported,"Industry ~5.2 LMT domestic coconut oil",2023-24,"Regional, near-100% domestic; culinary in Kerala, otherwise hair/industrial."
sesame_others,7,3,7,~0,"Sesame: South (esp Tamil Nadu), Bengal, Gujarat; plus corn, olive, niger",reported,"Residual of ~255 LMT total after named oils; SEA/Bonafide category list",2023-24,"Sesame/gingelly is a specialty premium oil; corn/olive small urban niches."
TOTAL,255,100,122,~57,"n/a",reported,"Consumption ~25-26 MT (250-260 LMT) NITI/industry; domestic output 12.18 MT (121.8 LMT) NITI 2023-24 = 44% of demand; imports ~160 LMT = ~57% import dependency (SEA 2024-25 imports 16 MT, Rs 1.61 lakh cr)",2023-24,"Per-capita ~19.7 kg/yr (NITI) rising to ~24 kg (Business Standard 2025). Totals rounded; type-level LMT derived from reported shares x ~255 LMT and cross-checked to SEA import volumes and USDA domestic-output breakdown - treat type splits as reported/indicative, totals as verified."
