finding,amount_rs_cr,para,validates_project_claim
Avoidable hiring in Punjab/Haryana (10.55 LMT hired despite own vacant CAP),62.76,3.4.3,"over-hiring / utilisation mismatch (size to avg, hire for peak)"
Avoidable carry-over charges to SGAs (vacant capacity not used for direct delivery),170.26,3.4.6,"utilisation mismatch; FCI 70% hired"
Storage augmentation shortfall (only 12.25 of 34.50 LMT target created 2017-22),0,1.1.1,"storage grew slowly (851->918 LMT); augmentation lagged"
Assam land-acquisition delay (Central Sector Scheme),18.08,3.5.3,"storage augmentation execution weak"
Bihar silo land cost (Kaimur/Buxar),16.85,3.5.4.2,"storage augmentation execution weak"
Damages/penalty not recovered from silo concessionaire (Bihar/Haryana),17.02,3.5.4.3,"weak contract/financial governance"
Undue favour to concessionaire (Changsari railway track),5.83,3.5.4.4,"weak contract governance"
Sangrur silo taken over without despatch facility (stock blocked),6.95,3.6.5.1,"idle/blocked stock -- the static-base problem"
Short despatch storage charges (Punjab/Haryana),182.29,4.3.3,"movement inefficiency; avoidable carry"
Direct railhead issue foregone (10% in Jharkhand alone),158.88,4.3.4,"distributed delivery would cut cost (PACS model)"
Long Term Tariff Contract not availed -> railway-freight rebate forgone,1736.11,4.4.1,"largest single avoidable cost; movement inefficiency"
HTC contractors vs railhead delivery (excess expenditure),4.45,4.4.7.3,"least-cost not ensured"
MP linear-programming not used effectively (railway freight),3.66,4.7.2,"movement optimisation gap"
PDS stock not FSSAI-tested (stored <6 months / direct railhead),0,3.7.4,"quality-testing gap (caveat to 'spoilage negligible')"
